trofast och lydig som en hund	faithful and obedient as a dog	Liknelser
självständig och graciös som en katt	independent and graceful as a cat	Liknelser
busig, gullig och lekfull som en kattunge	naughty, cute and playful as a kitten	Liknelser
tyst som en mus	quiet as a mouse	Liknelser
envis som en åsna	stubborn as a donkey	Liknelser
vacker som en svan	beautiful as a swan	Liknelser
hungrig som en varg	hungry as a wolf	Liknelser
listig som en räv	cunning as a fox	Liknelser
hal som en ål	slippery as an eel	Liknelser
flitig (arbetsam) som en myra	hard-working (industrious) as an ant	Liknelser
snabb som en vessla	fast as a weasel	Liknelser
stark som en oxe	strong as an ox	Liknelser
klok som en uggla	wise as an owl	Liknelser
dum som en gås	stupid as a goose	Liknelser
en älg	a moose / elk	Djur, fåglar och insekter
en varg	a wolf	Djur, fåglar och insekter
en vessla	a weasel	Djur, fåglar och insekter
en geting	a wasp	Djur, fåglar och insekter
ett bi	a bee	Djur, fåglar och insekter
en humla	a bumblebee	Djur, fåglar och insekter
en mask	a worm	Djur, fåglar och insekter
en orm	a snake	Djur, fåglar och insekter
en myra	an ant	Djur, fåglar och insekter
en fästing	a tick	Djur, fåglar och insekter
ett husdjur	a pet / domestic animal	Djur, fåglar och insekter
ett vilt djur	a wild animal	Djur, fåglar och insekter
en oxe	an ox	Djur, fåglar och insekter
en uggla	an owl	Djur, fåglar och insekter
en gås	a goose	Djur, fåglar och insekter
en svan	a swan	Djur, fåglar och insekter
en björn	a bear	Djur, fåglar och insekter
en kanin	a rabbit	Djur, fåglar och insekter
ett lodjur	a lynx	Djur, fåglar och insekter
en åsna	a donkey	Djur, fåglar och insekter
en häst	a horse	Djur, fåglar och insekter
drömmer (om ngn/ngt)	dream (about someone/something)	Barn och vuxna ...
längtar (efter ngn/ngt)	long (for someone/something)	Barn och vuxna ...
tjatar (på ngn om ngt)	nag (someone about something)	Barn och vuxna ...
övertalar sina föräldrar att skaffa	persuade their parents to get (a pet)	Barn och vuxna ...
sparar (till ngt)	save up (for something)	Barn och vuxna ...
stirrar på	stare at	Barn och vuxna ...
går förbi	walk past	Barn och vuxna ...
skaffar	get / acquire	Barn och vuxna ...
rider (på …)	ride (on …)	Att ta hand om ett djur
ramlar av	fall off	Att ta hand om ett djur
klappar	pet / stroke	Att ta hand om ett djur
leker (med …)	play (with …)	Att ta hand om ett djur
lockar (på …)	call / lure (to …)	Att ta hand om ett djur
matar	feed	Att ta hand om ett djur
tar hand om	take care of	Att ta hand om ett djur
går ut (med …)	go out (with …)	Att ta hand om ett djur
växer upp (med …)	grow up (with …)	Att ta hand om ett djur
är rädda (för …)	are afraid (of …)	Att ta hand om ett djur
är rädda (om …)	are protective (of …)	Att ta hand om ett djur
räddar	rescue / save	Att ta hand om ett djur
jagar	hunt	Att ta hand om ett djur
spolar ner (… i toaletten)	flush (… down the toilet)	Att ta hand om ett djur
avlivar	put down / euthanize	Att ta hand om ett djur
hostar	cough	Om man stöter på ett vilt och farligt djur
harklar sig	clear one's throat	Om man stöter på ett vilt och farligt djur
klappar i händerna	clap one's hands	Om man stöter på ett vilt och farligt djur
pratar vänligt för sig själv	talk kindly to oneself	Om man stöter på ett vilt och farligt djur
går sjungande	walk along singing	Om man stöter på ett vilt och farligt djur
går sakta bakåt utan att vända sig om	walk slowly backwards without turning around	Om man stöter på ett vilt och farligt djur
går förbi	walk past	Om man stöter på ett vilt och farligt djur
viftar med sina kläder	wave one's clothes	Om man stöter på ett vilt och farligt djur
överraskar inte	doesn't surprise (it)	Om man stöter på ett vilt och farligt djur
kommer inte för nära	doesn't get too close	Om man stöter på ett vilt och farligt djur
spelar (inte) död	play(s) (doesn't play) dead	Om man stöter på ett vilt och farligt djur
klättrar upp i ett träd	climb up a tree	Om man stöter på ett vilt och farligt djur
sparkar och slår så mycket man kan	kick and hit as much as one can	Om man stöter på ett vilt och farligt djur
sticker	sting	Vilka djur ...?
biter	bite	Vilka djur ...?
skrämmer	scare	Vilka djur ...?
anfaller, går till attack, attackerar	attack, go on the attack, attack	Vilka djur ...?
suger blod	suck blood	Vilka djur ...?
är rädda för människor	are afraid of people	Vilka djur ...?
orsakar mycket lidande	cause a lot of suffering	Vilka djur ...?
är giftiga	are poisonous	Vilka djur ...?
är farliga	are dangerous	Vilka djur ...?
överför smitta och sjukdomar	transmit infection and diseases	Vilka djur ...?
lufsar	plod / trudge along	Vilka djur ...?
tröstar	comfort	Vilka djur ...?
har bra luktsinne	have a good sense of smell	Vilka djur ...?
tjänar ~	earn (money)	Hur får jag pengar?
lånar ~	borrow (money)	Hur får jag pengar?
ärver ~	inherit (money)	Hur får jag pengar?
vinner ~	win (money)	Hur får jag pengar?
hittar ~	find (money)	Hur får jag pengar?
får löneförhöjning	get a pay raise	Hur får jag pengar?
stjäl ~	steal (money)	Hur får jag pengar?
gör av med pengar	spend money	Vad gör jag med pengarna?
spenderar ~	spend (it)	Vad gör jag med pengarna?
slösar ~	waste (it)	Vad gör jag med pengarna?
behöver ~	need (it)	Vad gör jag med pengarna?
lånar ut ~	lend (it) out	Vad gör jag med pengarna?
sparar ~	save (it)	Vad gör jag med pengarna?
investerar ~	invest (it)	Vad gör jag med pengarna?
köper ngt för ~na	buy something with the money	Vad gör jag med pengarna?
satsar ~ (på ngt)	bet / invest (money) (on something)	Vad gör jag med pengarna?
betalar lån	pay off a loan	Vad gör jag med pengarna?
använder dem på fel/rätt sätt	use them the wrong / right way	Vad gör jag med pengarna?
klara sig (på ngt)	get by (on something)	Vad gör jag med pengarna?
ha råd (med ngt)	afford (something)	Vad gör jag med pengarna?
pengar räcker/räcker inte (till ngt)	money is / isn't enough (for something)	Vad gör jag med pengarna?
ha tillräckligt med pengar (för ngt)	have enough money (for something)	Vad gör jag med pengarna?
tjäna på ngt	profit from something	Vad gör jag med pengarna?
högavlönat arbete	highly paid work	Vad gör jag med pengarna?
lågavlönat ~	low-paid (work)	Vad gör jag med pengarna?
priserna går upp/ner	prices go up / down	Vad gör jag med pengarna?
priserna höjs / sänks	prices are raised / lowered	Vad gör jag med pengarna?
yrke	occupation / profession	Ord: arbete och ekonomi
arbete	work / job	Ord: arbete och ekonomi
karriär	career	Ord: arbete och ekonomi
arbetslöshet	unemployment	Ord: arbete och ekonomi
lön	salary / wage	Ord: arbete och ekonomi
lån	loan	Ord: arbete och ekonomi
pension	pension	Ord: arbete och ekonomi
sjuklön	sick pay	Ord: arbete och ekonomi
socialbidrag	social welfare / benefits	Ord: arbete och ekonomi
veckopeng	weekly allowance	Ord: arbete och ekonomi
obekväm arbetstid	inconvenient / unsocial working hours	Ord: arbete och ekonomi
löneförhandling	wage negotiation	Ord: arbete och ekonomi
löneförhöjning	pay raise	Ord: arbete och ekonomi
karensdag	unpaid waiting day (first day of sick leave)	Ord: arbete och ekonomi
försäkringskassa	social insurance agency	Ord: arbete och ekonomi
a-kassa	unemployment insurance fund	Ord: arbete och ekonomi
anställning	employment	Ord: arbete och ekonomi
arbetsuppgift	task / duty	Ord: arbete och ekonomi
ansvar	responsibility	Ord: arbete och ekonomi
arbetsmiljö	work environment	Ord: arbete och ekonomi
arbetstider	working hours	Ord: arbete och ekonomi
status	status	Ord: arbete och ekonomi
attityd	attitude	Ord: arbete och ekonomi
investering	investment	Ord: arbete och ekonomi
utgift	expense	Ord: arbete och ekonomi
inkomst	income	Ord: arbete och ekonomi
jag är hellre hemma än på jobbet	I'd rather be home than at work	När det gäller arbete
jag är ansvarsfull (jag tar ansvar)	I am responsible (I take responsibility)	När det gäller arbete
hjälpsam	helpful	När det gäller arbete
självständig	independent	När det gäller arbete
jag jobbar stenhårt	I work really hard	När det gäller arbete
arbetet är krävande	the work is demanding	När det gäller arbete
motiverande	motivating	När det gäller arbete
meningsfullt / meningslöst	meaningful / meaningless	När det gäller arbete
jag är visionär	I am visionary	När det gäller arbete
gör det jag ska	do what I'm supposed to	När det gäller arbete
gör min plikt	do my duty	När det gäller arbete
Finns det något samband mellan dem?	Is there a connection between them?	Pengar och lycka?
pengar gör oss lyckliga / olyckliga	money makes us happy / unhappy	Pengar och lycka?
pengarnas lyckoeffekt	the happiness effect of money	Pengar och lycka?
kortvarig effekt	short-lived effect	Pengar och lycka?
pengar är ett nödvändigt ont	money is a necessary evil	Pengar och lycka?
aktar jag mig för oseriösa låneföretag	I'm wary of unscrupulous loan companies	När det gäller pengar
aktar jag mig för att låna ut pengar	I'm wary of lending out money	När det gäller pengar
är jag snål	I am stingy	När det gäller pengar
sparsam	thrifty	När det gäller pengar
stenrik	filthy rich	När det gäller pengar
urfattig	dirt poor	När det gäller pengar
generös	generous	När det gäller pengar
slösaktig	wasteful / extravagant	När det gäller pengar
pålitlig	reliable / trustworthy	När det gäller pengar
impulsiv	impulsive	När det gäller pengar
ekonomiskt självständig	financially independent	När det gäller pengar
oberoende	independent	När det gäller pengar
för att få upp konditionen	to improve my fitness	Varför tränar jag?
för att gå ner i vikt	to lose weight	Varför tränar jag?
för att bli smal	to become slim	Varför tränar jag?
för skönhetens skull	for the sake of beauty	Varför tränar jag?
för att stressa ner	to de-stress	Varför tränar jag?
för att utveckla mental styrka	to develop mental strength	Varför tränar jag?
för att testa mina gränser	to test my limits	Varför tränar jag?
för att tävla	to compete	Varför tränar jag?
eftersom jag gillar att utmana mig själv	because I like to challenge myself	Varför tränar jag?
för jag har ett stillasittande arbete	because I have a sedentary job	Varför tränar jag?
för att ha något att göra	to have something to do	Varför tränar jag?
för att orka med (ngt)	to be able to cope with (something)	Varför tränar jag?
för att prestera bättre	to perform better	Varför tränar jag?
Jag skäms för min kropp.	I'm ashamed of my body.	Hur mår man och vad säger man?
Jag blir andfådd.	I get out of breath.	Hur mår man och vad säger man?
Jag orkar inte!	I don't have the energy!	Hur mår man och vad säger man?
Jag är stressad.	I'm stressed.	Hur mår man och vad säger man?
Jag har ont om tid	I'm short on time	Hur mår man och vad säger man?
svårt att hitta tid	hard to find time	Hur mår man och vad säger man?
Jag hinner inte	I don't have time	Hur mår man och vad säger man?
Jag får ont i musklerna/benen/ryggen …	I get pain in my muscles/legs/back …	Hur mår man och vad säger man?
Så här kan jag inte fortsätta!	I can't go on like this!	Hur mår man och vad säger man?
Jag behöver något som får mig att stressa ner!	I need something that makes me de-stress!	Hur mår man och vad säger man?
Jag har sådan träningsvärk!	I'm so sore from training!	Hur mår man och vad säger man?
Jag är dödstrött!	I'm dead tired!	Hur mår man och vad säger man?
Ju mer jag tränar desto mer orkar jag.	The more I train, the more energy I have.	Hur mår man och vad säger man?
Jag är vältränad och muskulös men ändå smidig.	I'm fit and muscular but still agile.	Hur mår man och vad säger man?
Jag är nöjd med mitt liv.	I'm satisfied with my life.	Hur mår man och vad säger man?
utrustning	equipment	Vad behöver man?
skydd	protective gear	Vad behöver man?
redskap	tools / apparatus	Vad behöver man?
löparskor	running shoes	Vad behöver man?
träningsskor	training shoes	Vad behöver man?
träningskläder	training clothes	Vad behöver man?
egenskaper	qualities / traits	Vad behöver man?
ett glatt humör	a cheerful mood	Vad behöver man?
bollkänsla	ball sense	Vad behöver man?
tålamod	patience	Vad behöver man?
snabbhet	speed	Vad behöver man?
styrka	strength	Vad behöver man?
kondition	fitness / stamina	Vad behöver man?
envishet	stubbornness	Vad behöver man?
fantasi	imagination	Vad behöver man?
taktkänsla	sense of rhythm	Vad behöver man?
taktik	tactics	Vad behöver man?
uthållighet	endurance	Vad behöver man?
håller sig i form	keeps in shape	Vad gör man?
bygger (gradvis) upp konditionen/musklerna	(gradually) builds up fitness/muscles	Vad gör man?
skär ner på (onyttig mat)	cuts down on (unhealthy food)	Vad gör man?
kommer igång med träningen	gets started with training	Vad gör man?
börjar träna efter ett uppehåll	starts training after a break	Vad gör man?
rör på sig	moves / exercises	Vad gör man?
tränar (för ett lopp/en tävling/en match)	trains (for a race/competition/match)	Vad gör man?
motionerar regelbundet	exercises regularly	Vad gör man?
anstränger mig	exert myself	Vad gör man?
blir svettig / svettas	gets sweaty / sweats	Vad gör man?
stretchar	stretches	Vad gör man?
försöker med olika bantningsmetoder	tries different dieting methods	Vad gör man?
äter nyttigt	eats healthily	Vad gör man?
äter ordentligt	eats properly	Vad gör man?
slutar slarva med maten	stops being careless with food	Vad gör man?
slutar med onyttig mat	quits unhealthy food	Vad gör man?
gör av med kalorier	burns calories	Vad gör man?
gör armhävningar	does push-ups	Vad gör man?
går med i tävlingar/lopp	enters competitions / races	Vad gör man?
deltar i träningspass, tävlingar	takes part in training sessions, competitions	Vad gör man?
vinner	wins	Vad gör man?
förlorar	loses	Vad gör man?
sysslar med olika typer av sport	engages in different types of sport	Vad gör man?
spelar bandy / basket / handboll	plays bandy / basketball / handball	Vad gör man?
åker skidor / slalom / skridskor	goes skiing / slalom skiing / skating	Vad gör man?
tränar/håller på med/går på dans/fäktning/kampsport/yoga	trains in / does / attends dance / fencing / martial arts / yoga	Vad gör man?
på (ett) gym	at a gym	Var tränar man?
i en förening (jag är med i en förening)	in a club (I'm a member of a club)	Var tränar man?
Det är jobbigt	It's hard / tough	Vad tycker man om träning?
Det är nödvändigt	It's necessary	Vad tycker man om träning?
Det är meningslöst	It's pointless	Vad tycker man om träning?
Det är ansträngande	It's strenuous	Vad tycker man om träning?
Det är fantastiskt roligt	It's incredibly fun	Vad tycker man om träning?
Det är tråkigt	It's boring	Vad tycker man om träning?
Träningen ska vara varierad och regelbunden	Training should be varied and regular	Vad tycker man om träning?
är politiskt aktiv	is politically active	Verbfraser om politisk aktivitet
arbetar (FÖR ngt)	works (for something)	Verbfraser om politisk aktivitet
sysslar med något / håller på med något	is engaged in / is doing something	Verbfraser om politisk aktivitet
röstar på/i	votes for / in	Verbfraser om politisk aktivitet
väljer	chooses / elects	Verbfraser om politisk aktivitet
tar makten	takes power	Verbfraser om politisk aktivitet
startar ett parti	starts a party	Verbfraser om politisk aktivitet
föreslår / lägger fram ett förslag	proposes / puts forward a proposal	Verbfraser om politisk aktivitet
beslutar (ngt/OM ngt) / fattar beslut	decides (something/on something) / makes a decision	Verbfraser om politisk aktivitet
bestämmer	decides	Verbfraser om politisk aktivitet
finansierar	finances	Verbfraser om politisk aktivitet
styr / har makten	governs / holds power	Verbfraser om politisk aktivitet
ordnar ett möte	arranges a meeting	Verbfraser om politisk aktivitet
sitter i möte	is in a meeting	Verbfraser om politisk aktivitet
informerar (någon) om något	informs (someone) about something	Verbfraser om politisk aktivitet
sätter upp något (affischer?)	puts up something (posters?)	Verbfraser om politisk aktivitet
delar ut något	hands out something	Verbfraser om politisk aktivitet
startar en kampanj	launches a campaign	Verbfraser om politisk aktivitet
protesterar mot något	protests against something	Verbfraser om politisk aktivitet
löser problem	solves problems	Verbfraser om politisk aktivitet
lokal	local	Nivåer
regional	regional	Nivåer
nationell	national	Nivåer
på lokal nivå	at the local level	Nivåer
jämlikhet och jämställdhet	equality and gender equality	Politiska frågor
klassamhället	the class society	Politiska frågor
en välfärdsstat	a welfare state	Politiska frågor
folkhemmet	"the people's home" (Swedish welfare-state ideal)	Politiska frågor
(en) kärnkraft	nuclear power	Politiska frågor
en frihet	a freedom	Politiska frågor
en rättighet	a right	Politiska frågor
rätt till något (abort, omsorg …)	right to something (abortion, care …)	Politiska frågor
skattetrycket	the tax burden	Politiska frågor
fyraprocentspärren	the four-percent threshold (election)	Politiska frågor
den svaga ekonomin	the weak economy	Politiska frågor
tack vare	thanks to	Blandade bra fraser
med undantag för	with the exception of	Blandade bra fraser
X år i rad	X years in a row	Blandade bra fraser
omkring X %	around X%	Blandade bra fraser
i detalj	in detail	Blandade bra fraser
hur något ska gå till	how something is supposed to work / happen	Blandade bra fraser
har olika åsikter/samma åsikt i en fråga	have different / the same opinion on an issue	Blandade bra fraser
står över något	is above something	Blandade bra fraser
en regering	a government	Funktioner och regioner
riksdagen	the Riksdag (Swedish parliament)	Funktioner och regioner
ett parti	a party	Funktioner och regioner
en koalition	a coalition	Funktioner och regioner
ett block	a bloc	Funktioner och regioner
en myndighet	an authority / agency	Funktioner och regioner
ett landsting	a county council	Funktioner och regioner
en kommun	a municipality	Funktioner och regioner
en stat	a state	Funktioner och regioner
allmänna val	general elections	Politiska aktiviteter
en röst (-er)	a vote(s)	Politiska aktiviteter
(ett) valdeltagande	voter turnout	Politiska aktiviteter
ett valmanifest	an election manifesto	Politiska aktiviteter
en lag (-ar)	a law(s)	Politiska aktiviteter
en reform (-er)	a reform(s)	Politiska aktiviteter
en skatt (-er)	a tax(es)	Politiska aktiviteter
en offentlig utgift	a public expense	Politiska aktiviteter
ett bidrag	a subsidy / grant	Politiska aktiviteter
en (mandat)period	a term of office	Politiska aktiviteter
en minister	a minister	Personer
en statsminister	a prime minister	Personer
en finansminister	a minister of finance	Personer
en utrikesminister	a minister of foreign affairs	Personer
en partiledare	a party leader	Personer
en medborgare	a citizen	Personer
en väljare	a voter	Personer
en statschef	a head of state	Personer
en kronprins (~prinsessa)	a crown prince (~princess)	Personer
regeringsformen (RF)	the Instrument of Government	Grundlagar i Sverige
successionsordningen (SO)	the Act of Succession	Grundlagar i Sverige
tryckfrihetsförordningen (TF)	the Freedom of the Press Act	Grundlagar i Sverige
yttrandefrihetslagen (YGL)	the Fundamental Law on Freedom of Expression	Grundlagar i Sverige
en god (gammal) vän	a good (old) friend	Ord för personer
en riktig vän / kompis	a real friend / mate	Ord för personer
en bekant (många bekanta)	an acquaintance (many acquaintances)	Ord för personer
en ovän	an enemy (lit. "non-friend")	Ord för personer
en fiende	an enemy	Ord för personer
en icke-rökare	a non-smoker	Ord för personer
